STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/30/2004,2004,6,30,60,70,50
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/1/2004,2004,1,1,14.5,19,10
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/2/2004,2004,1,2,9,18,0
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/3/2004,2004,1,3,3.5,17,-10
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/4/2004,2004,1,4,-4,8,-16
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/5/2004,2004,1,5,0.5,8,-7
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/6/2004,2004,1,6,18.5,30,7
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/7/2004,2004,1,7,21,26,16
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/8/2004,2004,1,8,25,34,16
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/9/2004,2004,1,9,30,44,16
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/10/2004,2004,1,10,31,43,19
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/11/2004,2004,1,11,30.5,42,19
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/12/2004,2004,1,12,30.5,43,18
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/13/2004,2004,1,13,31,41,21
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/14/2004,2004,1,14,31.5,43,20
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/15/2004,2004,1,15,26,36,16
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/16/2004,2004,1,16,20.5,32,9
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/17/2004,2004,1,17,25,39,11
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/18/2004,2004,1,18,25,36,14
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/19/2004,2004,1,19,18,28,8
USS0010J30S,"BROWN DUCK, UT US",40.58,-110.59,3230.9,1/20/2004,2004,1,20,14,25,3
